Selena Smith,10001,Charlie and the Chocolate Factory,Revolution
Emily Johnson,10002,Pride and Prejudice,To Kill a Mockingbird
Michael Davis,10003,The Art of War,The Catcher in the Rye,Frankenstein
Alexandra Lee,10004,The Great Gatsby,Jane Eyre,1984
Benjamin Thompson,10005,The Lord of the Rings,The Hobbit,Brave New World
Sophia Garcia,10006,Harry Potter and the Sorcerer's Stone,The Hunger Games,Animal Farm
Daniel Johnson,10007,The Da Vinci Code,The Alchemist,Sapiens: A Brief History of Humankind
Isabella Martinez,10008,The Catch-22,Crime and Punishment,The Adventures of Huckleberry Finn
Ethan Harris,10009,To Kill a Mockingbird,The Odyssey,The Brothers Karamazov
Olivia Anderson,10010,The Chronicles of Narnia,The Picture of Dorian Gray,Lord of the Flies
Emma Wilson,10011,The Shining,War and Peace,Moby-Dick
Jacob Davis,10012,The Book Thief,The Secret Garden,Don Quixote
Sophia Thompson,10013,The Outsiders,The Little Prince,The Handmaid's Tale
Michael Johnson,10014,The Count of Monte Cristo,The Scarlet Letter,Dracula
Emily Wilson,10015,One Hundred Years of Solitude,The Hitchhiker's Guide to the Galaxy,A Game of Thrones
Ava Anderson,10016,The Sun Also Rises,Catch-22,The Grapes of Wrath
Logan Martinez,10017,1984,Lord of the Rings,Fahrenheit 451
Abigail Johnson,10018,The Giver,The Girl with the Dragon Tattoo,The Kite Runner
Mia Davis,10019,The Divine Comedy,The Sound and the Fury,Wuthering Heights
Alexander Wilson,10020,The Picture of Dorian Gray,Gone with the Wind,The Odyssey
